query_id,query_text,doc_id,posicao_real,relevancia_original
37,are there any theoretical methods for predicting base pressure .,173,21,2
37,are there any theoretical methods for predicting base pressure .,188,54,2
38,does transition in the hypersonic wake depend on body geometry and size,24,45,2
38,does transition in the hypersonic wake depend on body geometry and size,283,166,2
38,does transition in the hypersonic wake depend on body geometry and size,552,254,2
38,does transition in the hypersonic wake depend on body geometry and size,553,164,2
38,does transition in the hypersonic wake depend on body geometry and size,554,564,2
38,does transition in the hypersonic wake depend on body geometry and size,555,485,2
38,does transition in the hypersonic wake depend on body geometry and size,556,62,2
39,how can one detect transition phenomena in boundary layers .,555,464,1
39,how can one detect transition phenomena in boundary layers .,24,38,2
39,how can one detect transition phenomena in boundary layers .,283,Não recuperado (score 0),2
39,how can one detect transition phenomena in boundary layers .,552,336,2
39,how can one detect transition phenomena in boundary layers .,554,Não recuperado (score 0),2
39,how can one detect transition phenomena in boundary layers .,556,663,2
40,how can one detect transition phenomena in hypersonic wakes .,24,211,2
40,how can one detect transition phenomena in hypersonic wakes .,283,Não recuperado (score 0),2
40,how can one detect transition phenomena in hypersonic wakes .,552,92,2
40,how can one detect transition phenomena in hypersonic wakes .,553,346,2
40,how can one detect transition phenomena in hypersonic wakes .,554,Não recuperado (score 0),2
40,how can one detect transition phenomena in hypersonic wakes .,555,Não recuperado (score 0),2
40,how can one detect transition phenomena in hypersonic wakes .,556,154,2
45,"has anyone investigated the effect of surface mass transfer on
hypersonic viscous interactions .",570,13,2
47,"what are the existing solutions for hypersonic viscous interactions over
an insulated flat plate .",306,22,2
47,"what are the existing solutions for hypersonic viscous interactions over
an insulated flat plate .",307,11,2
47,"what are the existing solutions for hypersonic viscous interactions over
an insulated flat plate .",572,17,2
50,"what are the effects of small amounts of gas rarefaction on the
characteristics of the boundary layers on slender bodies of revolution .",629,80,2
51,"what is the available information pertaining to boundary layers on very
slender bodies of revolution in continuum flow (the ?transverse
curvature  effect) .",105,19,2
51,"what is the available information pertaining to boundary layers on very
slender bodies of revolution in continuum flow (the ?transverse
curvature  effect) .",381,391,2
51,"what is the available information pertaining to boundary layers on very
slender bodies of revolution in continuum flow (the ?transverse
curvature  effect) .",629,38,2
55,"to what extent can the available information for incompressible boundary
layers be applied to problems involving compressible boundary layers .",562,15,2
56,"to what extent can readily available steady-state aerodynamic data be
utilized to predict lifting-surface flutter characteristics .",380,42,2
59,"how much is known about boundary layer flows along non-circular
cylinders .",788,40,2
60,"is there any simple,  but practical,  method for numerical integration
of the mixing problem (i.e. the blasius problem with three-point
boundary conditions) .",475,427,2
61,"does there exist a closed-form expression for the local heat transfer
around a yawed cylinder .",565,11,2
62,"how far around a cylinder and under what conditions of flow,  if any,
is the velocity just outside of the boundary layer a linear function of
the distance around the cylinder .",566,169,1
62,"how far around a cylinder and under what conditions of flow,  if any,
is the velocity just outside of the boundary layer a linear function of
the distance around the cylinder .",567,121,2
62,"how far around a cylinder and under what conditions of flow,  if any,
is the velocity just outside of the boundary layer a linear function of
the distance around the cylinder .",1084,124,2
63,where can i find pressure data on surfaces of swept cylinders .,567,41,1
64,"can't the static deflection shapes be used in predicting flutter in
place of vibrational shapes . if so,  can we provide a justification by
means of an example .",391,19,2
65,"does the boundary layer on a flat plate in a shear flow induce a
pressure gradient .",2,11,2
65,"does the boundary layer on a flat plate in a shear flow induce a
pressure gradient .",128,333,2
65,"does the boundary layer on a flat plate in a shear flow induce a
pressure gradient .",629,31,2
66,"can the procedure of matching inner and outer solutions for a viscous
flow problem be applied when the main stream is a shear flow .",664,13,2
67,"can series expansions be found for the boundary layer on a flat plate in
a shear flow .",629,15,2
67,"can series expansions be found for the boundary layer on a flat plate in
a shear flow .",128,73,1
69,"what is known regarding asymptotic solutions to the exact boundary layer
equations .",458,14,2
69,"what is known regarding asymptotic solutions to the exact boundary layer
equations .",570,50,2
70,previous solutions to the boundary layer similarity equations .,333,83,1
70,previous solutions to the boundary layer similarity equations .,568,448,2
70,previous solutions to the boundary layer similarity equations .,570,25,2
71,experimental results on hypersonic viscous interaction .,569,24,1
71,experimental results on hypersonic viscous interaction .,571,201,1
71,experimental results on hypersonic viscous interaction .,1355,Não recuperado (score 0),2
71,experimental results on hypersonic viscous interaction .,572,14,1
72,"what has been done about viscous interactions in relatively low reynolds
number flows,  particularly at high mach numbers .",21,605,2
72,"what has been done about viscous interactions in relatively low reynolds
number flows,  particularly at high mach numbers .",324,384,2
73,"what role does the effect of chemical reaction (particularly when out of
equilibrium) play in the similitude laws governing hypersonic flows over
slender aerodynamic bodies .",572,15,2
73,"what role does the effect of chemical reaction (particularly when out of
equilibrium) play in the similitude laws governing hypersonic flows over
slender aerodynamic bodies .",578,964,2
75,"do the discrepancies among current analyses of the vorticity effect
on stagnation-point heat transfer result primarily from the
differences in the viscosity-temperature law assumed .",667,107,2
76,"how far can one trust the linear viscosity-temperature solution
assumed in some of the analyses of hypersonic shock layer at low
reynolds number .",378,751,2
80,"are methods of measuring aerodynamic derivatives available which
could be adopted for use in short running time facilities .",594,67,1
80,"are methods of measuring aerodynamic derivatives available which
could be adopted for use in short running time facilities .",597,31,1
83,what is the present state of the theory of quasi-conical flows .,681,158,2
83,what is the present state of the theory of quasi-conical flows .,682,88,2
83,what is the present state of the theory of quasi-conical flows .,683,16,2
84,"references on the methods available for accurately estimating
aerodynamic heat transfer to conical bodies for both laminar and turbulent
flow .",606,38,2
84,"references on the methods available for accurately estimating
aerodynamic heat transfer to conical bodies for both laminar and turbulent
flow .",406,69,2
85,"what parameters can seriously influence natural transition
from laminar to turbulent flow on a model in a wind tunnel .",608,58,1
85,"what parameters can seriously influence natural transition
from laminar to turbulent flow on a model in a wind tunnel .",406,194,2
87,"what effect has the boundary layer in modifying the basic inviscid flow
behind the shock,  neglecting effects of leading edge and corner .",606,461,2
87,"what effect has the boundary layer in modifying the basic inviscid flow
behind the shock,  neglecting effects of leading edge and corner .",611,658,2
89,"how is the flow at transonic speeds about a delta wing different
from that on a closely-related tapered sweptback wing .",794,29,2
90,recent data on shock-induced boundary-layer separation .,794,112,2
90,recent data on shock-induced boundary-layer separation .,797,88,2
90,recent data on shock-induced boundary-layer separation .,256,19,2
91,what interference effects are likely at transonic speeds .,801,26,2
92,"given complete freedom in the design of an airplane,  what procedure
would be used in order to minimize sonic boom intensity,  and is there a
limit to the degree of minimizing that can be accomplished .",802,767,2
92,"given complete freedom in the design of an airplane,  what procedure
would be used in order to minimize sonic boom intensity,  and is there a
limit to the degree of minimizing that can be accomplished .",803,607,2
94,"what is the theoretical heat transfer rate at the stagnation point of a
blunt body .",24,14,1
98,"will forward or apex located controls be effective at low subsonic
speeds and how do they compare with conventional trailing-edge
flaps .",713,936,2
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",821,372,2
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",824,40,2
101,"why does the incremental theory and the deformation theory of plastic
stress-strain relationship differ greatly when applied to stability
problems .",824,19,2
107,"in summarizing theoretical and experimental work on the behaviour of a
typical aircraft structure in a noise environment is it possible to
develop a design procedure .",728,69,2
109,panels subjected to aerodynamic heating .,860,40,1
109,panels subjected to aerodynamic heating .,861,51,1
110,"can increasing the edge loading of a plate beyond the critical value for
buckling change the buckling mode .",863,32,1
111,"have the effects of an elastic edge restraint been considered in
previous papers on panel flutter .",15,19,2
111,"have the effects of an elastic edge restraint been considered in
previous papers on panel flutter .",391,16,2
111,"have the effects of an elastic edge restraint been considered in
previous papers on panel flutter .",864,14,2
114,"it is not likely that the airforces on a wing of general planform
oscillating in transonic flow can be determined by purely analytical
methods . is it possible to determine the airforces on a single
particular planform, such as the rectangular one by such method .",916,22,2
115,"is the problem of similarity for representative investigations of
aeroelastic effects in heated flow as intractable as previous investigations
imply .",185,138,2
116,"what is the magnitude and distribution of lift over the cone and the
cylindrical portion of a cone-cylinder configuration .",922,394,1
117,"is there any information on how the addition of a /boat-tail/ affects
the normal force on the body of various angles of incidence .",360,30,2
120,"are previous analyses of circumferential thermal buckling of circular
cylindrical shells unnecessarily involved or even inaccurate due to the
assumed forms of buckling mode .",829,202,2
121,"what papers are there dealing with circumferential buckling either
thermal buckling or due to mechanical loading .",885,17,1
121,"what papers are there dealing with circumferential buckling either
thermal buckling or due to mechanical loading .",886,21,1
122,"what analytical investigations have been made of the stability of
conical shells . how do the results compare with experiment .",932,308,2
122,"what analytical investigations have been made of the stability of
conical shells . how do the results compare with experiment .",936,31,2
122,"what analytical investigations have been made of the stability of
conical shells . how do the results compare with experiment .",937,23,2
124,"in what areas, other than low density wind tunnel flows, is viscous
compressible flow in slender channels a problem .
what analytical investigations have been made of the stability of
conical shells . how do the results compare with experiment .",967,106,2
124,"in what areas, other than low density wind tunnel flows, is viscous
compressible flow in slender channels a problem .
what analytical investigations have been made of the stability of
conical shells . how do the results compare with experiment .",968,1106,2
125,jet interference with supersonic flow  -dash experimental papers .,969,54,2
125,jet interference with supersonic flow  -dash experimental papers .,971,43,2
125,jet interference with supersonic flow  -dash experimental papers .,972,106,2
125,jet interference with supersonic flow  -dash experimental papers .,174,34,2
127,"is it possible to obtain a reasonably simple analytical solution to the
heat equation for an exponential (in time) heat input .",101,27,2
131,"what agreement is found between theoretically predicted instability
times and experimentally measured collapse times for compressed columns
in creep .",1014,28,2
131,"what agreement is found between theoretically predicted instability
times and experimentally measured collapse times for compressed columns
in creep .",1020,12,2
132,theoretical studies of creep buckling .,1014,11,1
133,experimental studies of creep buckling .,1019,17,2
134,"is it possible to correlate the results on the creep buckling of widely
different structures within the framework of a single theory .",1027,30,2
137,"have any analytical studies been conducted on the time-to-failure
mechanism associated with creep collapse for a long circular cylindrical
shell which exhibits both primary and secondary creep as well as elastic
deformations under various distributed force systems .",1029,34,2
138,"has the effect of initial stresses,  on the frequencies of vibration of
circular cylindrical shells,  been investigated .",1036,34,1
139,"has the effect of the change of initial pressure due to deformation,  on
the frequencies of vibration of circular cylindrical shells been
investigated .",1031,765,2
139,"has the effect of the change of initial pressure due to deformation,  on
the frequencies of vibration of circular cylindrical shells been
investigated .",1032,456,2
139,"has the effect of the change of initial pressure due to deformation,  on
the frequencies of vibration of circular cylindrical shells been
investigated .",1035,112,2
140,"what are the discontinuity stresses at junctions in pressurized
structures .",1041,19,2
140,"what are the discontinuity stresses at junctions in pressurized
structures .",1042,62,2
141,"what analytical solutions are available for stresses in edge-loaded
shells of revolution .",1041,11,1
141,"what analytical solutions are available for stresses in edge-loaded
shells of revolution .",1044,41,2
142,"what dome contours minimize discontinuity stresses when used as closures
on cylindrical pressure vessels .",1042,12,1
145,"what are the best experimental data and classical small deflection
theory analyses available for pressurized cylinders in bending .",841,146,2
148,papers on small deflection theory for buckling of sandwich cylinders .,889,59,2
151,"what is the best theoretical method for calculating pressure on the
surface of a wing alone .",687,444,2
151,"what is the best theoretical method for calculating pressure on the
surface of a wing alone .",1076,171,2
152,"how can the effect of the boundary-layer on wing pressure be calculated,
and what is its magnitude .",1076,21,1
155,technical report on measurement of ablation during flight .,1103,Não recuperado (score 0),1
156,"what qualitative and quantitative material is available on ablation
materials research .",983,Não recuperado (score 0),1
156,"what qualitative and quantitative material is available on ablation
materials research .",1102,Não recuperado (score 0),1
156,"what qualitative and quantitative material is available on ablation
materials research .",274,18,2
156,"what qualitative and quantitative material is available on ablation
materials research .",1104,170,1
157,"have flow fields been calculated for blunt-nosed bodies and compared
with experiment for a wide range of free stream conditions and body
shapes .",273,27,2
157,"have flow fields been calculated for blunt-nosed bodies and compared
with experiment for a wide range of free stream conditions and body
shapes .",1105,16,2
157,"have flow fields been calculated for blunt-nosed bodies and compared
with experiment for a wide range of free stream conditions and body
shapes .",1106,104,2
157,"have flow fields been calculated for blunt-nosed bodies and compared
with experiment for a wide range of free stream conditions and body
shapes .",1107,64,2
157,"have flow fields been calculated for blunt-nosed bodies and compared
with experiment for a wide range of free stream conditions and body
shapes .",372,23,2
157,"have flow fields been calculated for blunt-nosed bodies and compared
with experiment for a wide range of free stream conditions and body
shapes .",410,70,2
157,"have flow fields been calculated for blunt-nosed bodies and compared
with experiment for a wide range of free stream conditions and body
shapes .",626,12,2
157,"have flow fields been calculated for blunt-nosed bodies and compared
with experiment for a wide range of free stream conditions and body
shapes .",1151,17,2
162,"what accurate or exact solutions of the laminar separation point for
various incompressible and compressible boundary layers with zero heat
transfer are available .",111,28,1
162,"what accurate or exact solutions of the laminar separation point for
various incompressible and compressible boundary layers with zero heat
transfer are available .",155,72,1
162,"what accurate or exact solutions of the laminar separation point for
various incompressible and compressible boundary layers with zero heat
transfer are available .",461,20,2
162,"what accurate or exact solutions of the laminar separation point for
various incompressible and compressible boundary layers with zero heat
transfer are available .",458,60,1
162,"what accurate or exact solutions of the laminar separation point for
various incompressible and compressible boundary layers with zero heat
transfer are available .",459,58,1
166,"are there experimental results on the stability of a compressible
boundary layer induced by a moving wave .",40,431,2
166,"are there experimental results on the stability of a compressible
boundary layer induced by a moving wave .",41,716,2
166,"are there experimental results on the stability of a compressible
boundary layer induced by a moving wave .",74,237,2
166,"are there experimental results on the stability of a compressible
boundary layer induced by a moving wave .",272,296,2
166,"are there experimental results on the stability of a compressible
boundary layer induced by a moving wave .",418,176,2
166,"are there experimental results on the stability of a compressible
boundary layer induced by a moving wave .",170,40,2
166,"are there experimental results on the stability of a compressible
boundary layer induced by a moving wave .",1264,34,2
168,"what approximate solutions are known to the direct problem of transonic
flow in the throat of a nozzle,  i.e. finding the flow in a given
nozzle .",774,21,1
169,"what approximate solutions are known to the indirect problem of
transonic flow in the throat of a nozzle,  i.e. finding a nozzle which
has a given axial velocity distribution .",774,11,1
169,"what approximate solutions are known to the indirect problem of
transonic flow in the throat of a nozzle,  i.e. finding a nozzle which
has a given axial velocity distribution .",775,208,1
174,"obtain all papers and reports that contain shock detachment distance
data .",58,51,1
174,"obtain all papers and reports that contain shock detachment distance
data .",36,795,2
174,"obtain all papers and reports that contain shock detachment distance
data .",482,14,1
175,work on flow in channels at low reynolds numbers .,351,19,2
175,work on flow in channels at low reynolds numbers .,966,23,2
175,work on flow in channels at low reynolds numbers .,967,666,2
176,"some approximate analytical heat conduction solutions using methods
other than biot's principle .",582,48,1
176,"some approximate analytical heat conduction solutions using methods
other than biot's principle .",583,907,1
176,"some approximate analytical heat conduction solutions using methods
other than biot's principle .",982,60,1
181,"jet interference with supersonic flows
theoretical papers .",973,34,2
181,"jet interference with supersonic flows
theoretical papers .",974,978,2
183,"what factors have been shown to have a primary influence on sonic boom
strength .",803,172,1
183,"what factors have been shown to have a primary influence on sonic boom
strength .",802,Não recuperado (score 0),2
188,"what theoretical and experimental work has been done on the excitation
and response of typical structures in a noise environment .",721,64,2
188,"what theoretical and experimental work has been done on the excitation
and response of typical structures in a noise environment .",723,19,2
188,"what theoretical and experimental work has been done on the excitation
and response of typical structures in a noise environment .",728,26,2
189,"is there a design method for calculating thermal fatigue endurances of
components of various types and sizes in a variety of circumstances .",395,29,2
189,"is there a design method for calculating thermal fatigue endurances of
components of various types and sizes in a variety of circumstances .",866,66,2
189,"is there a design method for calculating thermal fatigue endurances of
components of various types and sizes in a variety of circumstances .",869,78,2
190,"will an analysis of panel flutter based on arbitrarily assumed modes of
deformation prove satisfactory,  and if so,  what is the minimum number
of modes that need be considered .",285,20,2
191,"what is the criterion for true panel flutter,  as opposed to small
amplitude vibration arising from acoustic disturbances .",915,290,1
191,"what is the criterion for true panel flutter,  as opposed to small
amplitude vibration arising from acoustic disturbances .",285,18,2
191,"what is the criterion for true panel flutter,  as opposed to small
amplitude vibration arising from acoustic disturbances .",857,15,2
191,"what is the criterion for true panel flutter,  as opposed to small
amplitude vibration arising from acoustic disturbances .",858,17,2
192,papers dealing with uniformly loaded sectors .,736,34,1
194,"how can the analytical solution of the buckling strength of a uniform
circular cylinder loaded in axial compression be refined so as to lower
the buckling load .",739,20,2
194,"how can the analytical solution of the buckling strength of a uniform
circular cylinder loaded in axial compression be refined so as to lower
the buckling load .",740,12,2
194,"how can the analytical solution of the buckling strength of a uniform
circular cylinder loaded in axial compression be refined so as to lower
the buckling load .",743,42,2
196,"the problem of similarity for representative investigation of
aeroelastic effects in a flow with the absence of heating effects .",185,531,2
196,"the problem of similarity for representative investigation of
aeroelastic effects in a flow with the absence of heating effects .",874,686,2
196,"the problem of similarity for representative investigation of
aeroelastic effects in a flow with the absence of heating effects .",876,651,2
198,"is there any information available on the difference in the effects of
various edge conditions on the buckling of cylindrical shells .",888,220,2
199,"have non-linear large deflection analyses been conducted for shell
shapes other than conical .",1052,60,1
199,"have non-linear large deflection analyses been conducted for shell
shapes other than conical .",1053,19,1
199,"have non-linear large deflection analyses been conducted for shell
shapes other than conical .",1054,33,2
199,"have non-linear large deflection analyses been conducted for shell
shapes other than conical .",1056,115,2
199,"have non-linear large deflection analyses been conducted for shell
shapes other than conical .",1060,Não recuperado (score 0),2
199,"have non-linear large deflection analyses been conducted for shell
shapes other than conical .",743,59,2
200,"are asymptotic methods sufficiently accurate in the determination of
pre-buckling stresses in torispherical shells,  or must we resort to
numerical methods .",1138,15,2
201,"what are the nonequilibrium chemical constituents in the viscous shock
layer ahead of a blunt re-entry vehicle .",552,66,2
202,"how accurate are existing analytical theories in estimating pressure
distributions on cones at incidence,  at hypersonic speeds .",1303,25,2
202,"how accurate are existing analytical theories in estimating pressure
distributions on cones at incidence,  at hypersonic speeds .",1304,34,2
202,"how accurate are existing analytical theories in estimating pressure
distributions on cones at incidence,  at hypersonic speeds .",1110,182,2
204,do viscous effects seriously modify pressure distributions .,572,93,2
204,do viscous effects seriously modify pressure distributions .,1311,13,2
207,"how do large changes in new mass ratio quantitatively affect
wing-flutter boundaries .",1339,16,2
209,"what are the physical significance and characteristics of separated
laminar and turbulent boundary layer flows .",1351,182,2
209,"what are the physical significance and characteristics of separated
laminar and turbulent boundary layer flows .",1356,561,2
211,"what papers are available on the buckling of empty cylindrical shells
under non-uniform pressure .",891,25,2
212,"what effect do thermal stresses have on the compressive buckling
strength of ring-stiffened cylinders .",889,71,2
213,"what is the effect on cylinder buckling of a circumferential stress
system that varies in the axial direction .",889,48,2
216,"what investigations have been made of the wave system created by a
static pressure distribution over a liquid surface .",156,342,1
217,"has anyone investigated the effect of shock generated vorticity on heat
transfer to a blunt body .",667,63,1
217,"has anyone investigated the effect of shock generated vorticity on heat
transfer to a blunt body .",1258,171,2
217,"has anyone investigated the effect of shock generated vorticity on heat
transfer to a blunt body .",1394,12,2
218,what is the heat transfer to a blunt body in the absence of vorticity .,24,96,1
219,"what are the general effects on flow fields when the reynolds number is
small .",1391,219,1
219,"what are the general effects on flow fields when the reynolds number is
small .",666,40,2
219,"what are the general effects on flow fields when the reynolds number is
small .",667,116,2
219,"what are the general effects on flow fields when the reynolds number is
small .",1258,358,2
219,"what are the general effects on flow fields when the reynolds number is
small .",1394,193,2
219,"what are the general effects on flow fields when the reynolds number is
small .",1395,157,2
220,"find a calculation procedure applicable to all incompressible laminar
boundary layer flow problems having good accuracy and reasonable
computation time .",1383,130,2
220,"find a calculation procedure applicable to all incompressible laminar
boundary layer flow problems having good accuracy and reasonable
computation time .",1385,35,2
221,"papers applicable to this problem (calculation procedures for laminar
incompressible flow with arbitrary pressure gradient) .",155,107,2
221,"papers applicable to this problem (calculation procedures for laminar
incompressible flow with arbitrary pressure gradient) .",1383,146,2
221,"papers applicable to this problem (calculation procedures for laminar
incompressible flow with arbitrary pressure gradient) .",1385,363,2
225,"what design factors can be used to control lift-drag ratios at mach
numbers above 5 .",1379,930,2
225,"what design factors can be used to control lift-drag ratios at mach
numbers above 5 .",1305,397,2
225,"what design factors can be used to control lift-drag ratios at mach
numbers above 5 .",1304,Não recuperado (score 0),2
